model,id,title,authors
book.book,132,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg
book.book,133,eBay for Dummies,Marsha Collier
book.book,135,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora
book.book,137,Starting an eBay Business for Dummies,Marsha Collier
book.book,138,eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson
book.book,139,ebay Timesaving Techniques for Dummies,Marsha Collier
book.book,140,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier
book.book,141,Ruby Cookbook,Lucas Carlson/Leonard Richardson
book.book,142,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar
book.book,144,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar
book.book,147,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini
book.book,151,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky
book.book,152,Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer
book.book,153,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley
book.book,154,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy
book.book,155,Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett
book.book,156,Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude
book.book,157,Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker
book.book,159,Dinner with Anna Karenina,Gloria Goldreich
book.book,160,Tolstoy: Anna Karenina,Anthony Thorlby
book.book,162,Untouchable,Mulk Raj Anand/E.M. Forster
book.book,163,The Untouchable,John Banville
book.book,164,The Untouchables,Eliot Ness/Oscar Fraley
book.book,165,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav
book.book,166,Dalit: The Black Untaouchables of India,V.T. Rajshekar/Y.N. Kly
book.book,168,Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon/Gail Omvedt/Eleanor Zelliot
book.book,171,The Evidence-Based Social Work Skills Book,Barry R. Cournoyer
book.book,177,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello/Patty Carratello/Theresa Wright
book.book,180,Wrinkles in Time,George Smoot/Keay Davidson
book.book,181,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle
book.book,182,Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy
book.book,201,Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle
book.book,204,The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles
book.book,205,A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd
book.book,207,Long Way Round: Chasing Shadows Across the World,Ewan McGregor/Charley Boorman/Robert Uhlig
book.book,208,A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham
book.book,213,New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke
book.book,214,Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block
book.book,216,Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard
book.book,230,The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford
book.book,231,I am Charlotte Simmons,Tom Wolfe
book.book,237,Poetry for Young People: Edward Lear,Edward Lear/Laura Huliska-Beith/Edward Mendelson
book.book,244,The Puffin Book of Nonsense Verse,Quentin Blake
book.book,245,Henry Miller on Writing,Henry Miller/Thomas H. Moore
book.book,247,Quiet Days in Clichy,Henry Miller
book.book,249,Tropic of Cancer,Henry Miller/Jiří Níl
book.book,250,Tropic of Capricorn,Henry Miller
book.book,251,Nexus (The Rosy Crucifixion  #3),Henry Miller
book.book,252,Sexus (The Rosy Crucifixion  #1),Henry Miller
book.book,253,The Air-Conditioned Nightmare,Henry Miller
book.book,264,The Portrait of a Lady,Henry James/Patricia Crick
book.book,269,The Portrait of a Lady,Henry James/Gabriel Brownstein/Mary Cregan
book.book,277,Writing,Marguerite Duras
book.book,278,The War,Marguerite Duras/Barbara Bray
book.book,280,The Ravishing of Lol Stein,Marguerite Duras/Richard Seever
book.book,285,Love Letters,Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari
book.book,288,Kahlil Gibran: His Life and World,Jean Gibran/جبران خليل جبران/Kahlil Gibran
book.book,289,The Beloved: Reflections on the Path of the Heart,Kahlil Gibran/John Walbridge/Robin Waterfield
book.book,290,Jesus the Son of Man,Kahlil Gibran/جبران خليل جبران
book.book,291,The Broken Wings,Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris
book.book,292,Sand and Foam,Kahlil Gibran/جبران خليل جبران
book.book,295,Treasure Island,Robert Louis Stevenson
book.book,296,Treasure Island,Robert Louis Stevenson/Scott McKowen
book.book,297,Treasure Island,Robert Louis Stevenson
book.book,298,Treasure Island,Robert Louis Stevenson/N.C. Wyeth/Timothy Meis
